Plot,year,date,severity,new,blue,green,red,redge,nir,ndvi,ndre,cire,sipi,mndvi
8,2021,D0,0,2021-07-07,0.02132974855184999,0.05750314101899913,0.0398921758100716,0.1370613897193915,0.295613456937276,0.7157179174503924,0.35507981052521026,-0.3531518142996198,3.494424976343522,0.3411934009420972
8,2021,D1,3.7,2021-07-15,0.02181142806284255,0.05995074560205537,0.032434772570422495,0.1516184378557678,0.35876937168621265,0.8000431163113546,0.39886707254491954,-0.43498090352039176,3.151139355792957,-0.1140547795460883
8,2021,D2,8.4,2021-07-20,0.020820446402039023,0.0596832783947518,0.03347267230883418,0.1692592419766643,0.4194361010674584,0.8302574542701224,0.419366393074524,-0.5148507238110036,3.1401341438792767,-0.3193034280912128
8,2021,D3,29.4,2021-08-02,0.02337971203960478,0.062355142281891145,0.032121667159182216,0.2017982490663183,0.44409839288327096,0.8520045546200129,0.37710442697285,-0.5782457616750375,2.613720243121974,-0.8700951547563851
8,2021,D4,41.2,2021-08-25,0.03252230183482848,0.0638461091297548,0.06648973792853523,0.13752811947402013,0.22439451663803767,0.5383072691211188,0.24208999057344768,-0.2686605801305314,3.219601821963191,0.0010159223077330546
8,2021,D5,71.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2021,D0,0,2021-07-07,0.02188218718806057,0.05869400800956324,0.04093411798049702,0.14137982250510966,0.302336755899024,0.7115535479350596,0.3503842085804408,-0.3637379375720401,3.4814726878532776,0.32563499811703506
9,2021,D1,2.375,2021-07-15,0.02132649342738478,0.05706843855567013,0.030897490688173827,0.14719232366306373,0.34481226976618345,0.8004531613024517,0.3926973850980912,-0.4147638899862296,3.0784810417785677,-0.14783130195561853
9,2021,D2,4.275,2021-07-20,0.02052110122207149,0.05855188059781415,0.032851827369373414,0.16679461960918202,0.4183310785112601,0.8334914825966359,0.425292246710257,-0.511124620116628,3.173616034893034,-0.30294254613096283
9,2021,D3,13.2,2021-08-02,0.022662826477641843,0.062172266123905806,0.03157510922137129,0.20270046225465616,0.4475631335438833,0.8549204199495674,0.3785744948387033,-0.5828264269279751,2.6162937660358976,-0.7559168261685135
9,2021,D4,15.65,2021-08-25,0.02987871621482921,0.05902406542257567,0.06794822120861696,0.12513367249855598,0.20401133644224712,0.5055839237767276,0.24319904988057373,-0.2380668419639172,3.77779262454228,0.04340790119408071
9,2021,D5,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2021,D0,0,2021-07-07,0.022603187242301984,0.05975365999054198,0.04357306842443875,0.14290671521935597,0.2992025021916137,0.696297817019117,0.3402171446094348,-0.36054561688432407,3.516463106688596,0.3981083213754093
10,2021,D1,2.225,2021-07-15,0.021598941058895288,0.0575334754695153,0.031147981910912257,0.14166456888307746,0.3302551102271564,0.7919106905802415,0.3914512791493444,-0.3948047166509579,3.1059171882008125,-0.125423042383604
10,2021,D2,2.275,2021-07-20,0.02118406266674301,0.059527718552707706,0.03409332590210946,0.1669940788838779,0.4164679256090023,0.8290410861735796,0.4224323615833422,-0.5076719716250877,3.171703174489777,-0.35812892932564644
10,2021,D3,30.25,2021-08-02,0.02366450786180453,0.06000657723081747,0.033218984397424454,0.18946316130971655,0.44014436865838047,0.8441076683629314,0.40015588983958655,-0.5625169539011026,2.85054509179592,-1.0814628753456503
10,2021,D4,17.3,2021-08-25,0.03446312315776787,0.06983648509080428,0.07757790432424905,0.14470334973972354,0.22997565218103055,0.5042939248015672,0.23103438792763076,-0.2756266630314823,3.6151259578613377,0.206265453108644
10,2021,D5,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021,D0,0,2021-07-07,0.02089238441472932,0.04880216180068856,0.04060995014630651,0.12152262404852476,0.2446870792784601,0.6569093343828624,0.32211392052989685,-0.2870936893940667,3.673143078185237,0.49929140294004326
11,2021,D1,1,2021-07-15,0.020382975589187863,0.04942616659086405,0.03205623443402964,0.12173786360621792,0.2899206265498531,0.7603174832421552,0.3967210148141669,-0.3379536111234522,3.4080717996863044,0.1445930196694704
11,2021,D2,5.875,2021-07-20,0.020665341854501185,0.05198353283282015,0.03630887290012232,0.14699694394807492,0.36028860113745104,0.7819582874567923,0.41005625339351504,-0.43133891341734026,3.465522060080544,0.07652749480475293
